id`name`basicDataType`targetType`valueTypeId`value`canDodged`canCrit`canDefend`attachEffectIdListMap
int`string`int`tuple3<int,int,int>`int`int`bool`bool`bool`map<int,array<int>>
10`普通攻击效果`3`2;0;0`1`-10000`1`1`1`1;11,13
11`普通攻击加魔法`5`6;0;0`0`50`0`0`0`
12`永恒之枪效果1`3`1;0;0`1`-14000`0`1`1`
13`普通攻击对方加魔法`5`1;0;0`0`10`0`0`0`
14`驰骋疆场效果1：自身生命+30%`15`1;0;0`5`3000`0`0`0`
15`驰骋疆场效果2：自身防御+7`2`1;0;0`0`7`0`0`0`
16`驰骋疆场效果3：自身攻击+30`1`1;0;0`1`3000`0`0`0`
17`卢恩魔法效果1：额外50%伤害`3`1;0;0`1`-5000`0`0`1`
18`英灵指引效果1：恢复最低生命英雄300%攻击等量生命`3`7;0;0`1`30000`0`0`0`
19`英灵指引效果2：自身速度+10`4`6;0;0`0`10`0`0`0`
20`毒蛇箭阵`3`3;0;0`1`-14000`1`1`1`2;5
21`暴乱之眼：加50%攻击`1`6;0;0`1`5000`0`0`0`
22`女神诅咒：对石化目标伤害+60.5%`3`1;2;1`1`-6050`0`0`1`
